CategoryCode,ItemCode,DateID,DailySales
category_2,20573,3/31/2021,7
category_5,663143,5/11/2021,20
category_1,57983,7/11/2021,8
category_1,688343,7/30/2021,11
category_1,707549,3/31/2021,23
category_1,696443,5/10/2021,7
category_1,57983,11/2/2021,6
category_1,703307,5/10/2021,13
category_7,28445,8/19/2021,16
category_2,709637,3/1/2021,8
category_8,583109,5/11/2021,1
category_2,27161,7/30/2021,12
category_7,566891,5/10/2021,49
category_2,27161,4/6/2021,4
category_2,266135,11/2/2021,1
category_4,82193,11/29/2021,31
category_6,255329,11/4/2021,6
category_7,28445,11/29/2021,11
category_4,82193,7/3/2021,100
category_4,557711,3/30/2021,29
category_3,698075,10/2/2021,6
category_6,692831,3/2/2021,8
category_1,704297,3/2/2021,8
category_2,115043,3/30/2021,2
category_6,692843,11/30/2021,6
category_8,705365,3/2/2021,1
category_2,266135,3/31/2021,11
category_3,112991,12/6/2021,113
category_8,11675,5/12/2021,5
category_3,58955,11/2/2021,60
category_6,255299,5/10/2021,3
category_6,255299,4/6/2021,5
category_2,73535,5/11/2021,7
category_2,557405,5/12/2021,29
category_4,163709,10/2/2021,12
category_4,163709,11/2/2021,12
category_2,557405,5/19/2021,8
category_6,255311,5/10/2021,115
category_2,15701,5/19/2021,17
category_2,92483,5/10/2021,8
category_6,255293,12/6/2021,4
category_2,66041,5/11/2021,5
category_3,11279,3/2/2021,7
category_2,711371,8/19/2021,2
category_2,33845,11/30/2021,3
category_7,20093,4/6/2021,6
category_7,184589,11/29/2021,1
category_6,255353,4/6/2021,5
category_2,670715,5/10/2021,5
category_2,558617,5/19/2021,42
category_2,39821,5/11/2021,13
category_8,705365,12/6/2021,2
category_2,115043,5/10/2021,3
category_1,704297,5/19/2021,6
category_6,255269,5/12/2021,2
category_2,144089,3/1/2021,3
category_2,21485,3/1/2021,8
category_1,703307,10/2/2021,5
category_6,255335,10/29/2021,12
category_1,11519,4/5/2021,209
category_6,255329,10/9/2021,10
category_7,19949,10/2/2021,2
category_8,596207,7/30/2021,6
category_7,184589,3/31/2021,22
category_1,698633,11/30/2021,27
category_4,683195,11/30/2021,17
category_2,92483,10/9/2021,3
category_4,683195,7/30/2021,6
category_2,33845,11/4/2021,14
category_7,20093,12/6/2021,5
category_6,255281,11/29/2021,4
category_2,29075,7/3/2021,6
category_1,252821,5/10/2021,6
category_6,692843,7/30/2021,4
category_2,26279,5/19/2021,24
category_1,16079,5/12/2021,2
category_2,144089,8/19/2021,33
category_8,11675,3/2/2021,6
category_2,15701,4/5/2021,3
category_6,255389,3/31/2021,6
category_5,609011,5/19/2021,78
category_6,255281,3/2/2021,6
category_2,670715,11/29/2021,1
category_1,688349,3/31/2021,61
category_3,87977,10/9/2021,11
category_1,688361,7/30/2021,5
category_3,11279,11/4/2021,9
category_8,583109,8/19/2021,3
category_4,163709,11/30/2021,13
category_5,43487,5/11/2021,69
category_2,13871,5/19/2021,106
category_8,661781,7/30/2021,2
category_6,692861,11/2/2021,10
category_4,163709,3/31/2021,17
category_6,255353,7/3/2021,2
category_4,163709,11/29/2021,8
category_1,704297,3/1/2021,2
category_7,184589,7/3/2021,3
category_3,58955,5/11/2021,20
category_2,602639,7/3/2021,8
category_2,585071,10/2/2021,2
category_2,88007,10/2/2021,16
category_6,568793,4/5/2021,2
category_2,174911,5/19/2021,6
category_1,698633,7/30/2021,10
category_2,174911,10/2/2021,2
category_1,688349,3/1/2021,9
category_3,58955,11/4/2021,19
category_6,255335,11/30/2021,5
category_7,24443,11/30/2021,19
category_4,82193,8/19/2021,112
category_3,25229,7/3/2021,49
category_6,255257,3/1/2021,21
category_6,692831,3/30/2021,3
category_6,255269,3/31/2021,3
category_3,25229,10/2/2021,49
category_2,39821,10/2/2021,8
category_3,11279,3/1/2021,4
category_6,255293,5/12/2021,8
category_2,92483,12/6/2021,2
category_6,255257,11/30/2021,10
category_2,558617,7/30/2021,8
category_3,698075,11/4/2021,12
category_5,664721,11/29/2021,6
